Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Alsace Mulhouse",Frankreich,323,142,1321273127
"FV Schalke 1905",Deutschland,379,175,1216678105
"FC Mattersburg 1921",Österreich,303,182,1129015513
"Rädan Baku",Aserbaidschan,281,125,1049343504
"Seattle City","Vereinigte Staaten",271,171,1018237169
"SFC Grieskirchen",Österreich,287,131,963631189
"FK Gliwice",Polen,280,150,922664042
"Olympia Lyon",Frankreich,387,199,919291294
"Luton United",England,364,191,916767954
"BFV München",Deutschland,385,208,897319029
"Chelsea Soccer",England,372,200,892883276
"Dynamit Moskva",Russland,337,137,891927238
"1.SSV St. Pauli",Deutschland,368,181,889378153
"Victoria Hürth",Deutschland,296,103,875981542
"FKV Köln",Deutschland,375,183,874586978
"Old Boys Cape Town",Südafrika,359,166,864487488
"Bavaria Buchbach",Deutschland,358,153,855196553
"ED Dender Hekelgem",Belgien,342,182,852274326
"ALS Auxerre",Frankreich,300,167,845758953
"Lincool FC",Gibraltar,351,127,840366025
"Rot-Weiß Ingolstadt",Deutschland,379,168,833979969
"Central Vigo",Spanien,311,176,825883617
"SC Fiorentina",Italien,361,194,824575816
"Rangers IF",Dänemark,369,202,819077679
"Glasgow Randers",Schottland,298,107,818470931
"London Gunners",England,391,163,815119901
"HuFC Düsseldorf",Deutschland,353,102,809938622
"FV Porto",Portugal,367,161,804804884
"Benu Wellington",Australien,355,154,799934862
"Møre Kristiansund",Norwegen,407,153,787412819
"FC Silver Ash",Ghana,368,182,776520982
"Borussia Bautzen",Deutschland,332,155,773703449
"VfL Braunschweig",Deutschland,303,169,766133212
"1. FC Karlsruhe",Deutschland,384,189,763097793
"Sonnenhof Schönberg",Deutschland,267,121,751719930
"Ciltic Glasgow",Schottland,363,168,751712901
"KC Glamour Boys",Südafrika,209,159,747674382
"Flamengos de Janeiro",Brasilien,348,123,743656347
"Intra Mailand",Italien,384,197,738380382
"SSV Kapfenberg 09",Österreich,321,162,734928075
"SKK Hamburg",Deutschland,378,142,732107907
"Eintracht Bochum",Deutschland,350,103,732071248
"East Ham London",England,351,186,727999387
"ASK Eindhoven",Niederlande,375,141,726849528
"KSK Gent",Belgien,313,174,725620628
"FSV Alm Bielefeld",Deutschland,327,152,724806937
"FK Cádiz",Spanien,317,152,721728645
"SSV Frankfurt 1897",Deutschland,384,153,720554428
"Inverness City",Schottland,323,140,716906434
"Union Drochtersen",Deutschland,339,151,701840723
"Lombardia Como",Italien,294,138,701442643
"Eltersdorfer SV",Deutschland,300,153,701295420
"Dynamo Zwickau",Deutschland,306,173,700926783
"Manchester Town",England,380,195,695465247
"Holstein Flensburg",Deutschland,281,137,692333257
"IS Norrköping",Schweden,334,163,687554132
"1. FV Würzburg",Deutschland,318,144,684054960
"RPF Kaiserslautern",Deutschland,361,193,683359060
"HSV Rathenow",Deutschland,337,174,682473257
"FC Aarhus 1879",Dänemark,313,146,676336597
"Mainzer FC",Deutschland,362,199,674157519
"Chivas de Guadalajara",Mexiko,267,131,670934128
"Manchester Revolution",England,331,158,666585302
"UD Espania Barcelona",Spanien,360,122,660182025
"KFC Waalwijk 41",Niederlande,334,127,658971237
"Sportfreunde Bayreuth",Deutschland,366,144,652850324
"Realstar Bruxelles",Belgien,298,164,652348024
"Aias Amsterdam FK",Niederlande,398,194,652207661
"FKS Puławy",Polen,227,149,651264211
"FSV Stuttgart",Deutschland,367,174,650737031
"SKK Illertissen",Deutschland,310,156,650522159
"Colchester Albion",England,357,112,641163666
"Olimpios Piräus",Griechenland,354,156,640497365
"SV Porta Trier",Deutschland,298,154,639117380
"Virginia Turin",Italien,391,156,633073255
"CP London Eagles",England,394,137,625565225
"FC Halle a.d.Saale",Deutschland,350,163,621307810
"Arsenal BA",Argentinien,286,132,617086219
"HSC Hamburg",Deutschland,345,173,616908375
"FK Fanorbohçe",Türkei,385,170,614119971
"Śląskie Bielsko-Biała",Polen,332,167,608426667
"Osser FK",Niederlande,365,179,606511420
"SHV Passau",Deutschland,341,150,605153800
"Air Force Sri",Sri Lanka,245,156,604698059
"OFK Ski",Norwegen,394,162,601582054
"Royal Jaén",Spanien,337,158,598673230
"Sydney Ramblers",Australien,357,143,596681059
"Tapfer Burghausen",Deutschland,290,179,594341991
"FSC Großes Aspach",Deutschland,370,133,594247279
"BSV Auerbach",Deutschland,253,145,593621142
"Eintracht Luckenwalde",Deutschland,342,127,592901334
"Sport Örebro",Schweden,376,173,592711304
"Portsmouth City",England,364,84,592520589
"Duisburg Zebras",Deutschland,303,151,592015930
"Preußen Neumünster",Deutschland,255,128,590742113
"AK Berlin 1917",Deutschland,341,128,589409439
"SW Bocholt",Deutschland,285,103,586606422
"Saransk CF",Russland,345,158,584021882
"Maccabi SC TA",Israel,285,136,581109268
"Saarbrückener SC",Deutschland,352,219,580749987
"SpVgg Münster 1908",Deutschland,206,123,580720933
"ASS Frascati Rom",Italien,285,145,579397458
"Legnica FK",Polen,276,122,579038836
"Športový Trenčín",Slowakei,343,194,576630642
"Wésłav Kraków",Polen,267,177,576327883
"FK Leverkusen",Deutschland,328,146,576042997
"AC Sportivo Madrid",Spanien,359,203,574078494
"Royal Madrid",Spanien,358,150,571266674
"CV Milan",Italien,313,142,570866225
"Union Verl",Deutschland,316,131,570709491
"RW Meuselwitz",Deutschland,350,141,570225578
"Slavia Liberec",Tschechien,333,175,569382384
"US Mallorca",Spanien,358,185,568091159
"FV Vic Plzeň",Tschechien,265,169,567392312
"Rot-Blau Bonn",Deutschland,220,103,565753432
"FKS Bratislava",Slowakei,251,145,565222008
"Elektro Cottbus",Deutschland,327,154,563529412
"Leicester Town",England,248,114,563148499
"Clube Santos SP",Brasilien,302,153,558531054
"KS Adanaspur",Türkei,335,99,558057145
"TSV Berlin 1905",Deutschland,268,120,555169396
"AJ Valenciennes",Frankreich,313,151,554876403
"FCM Kinnes",Südafrika,193,154,552259668
"Academica Cluj",Rumänien,325,157,549995282
"Intra Brașov",Rumänien,313,160,547642279
"SC Kogge Rostock",Deutschland,337,123,547429365
"Wallis Sion 08",Schweiz,352,156,546998112
"ICE Zagreb",Kroatien,338,142,546560584
"TSG Landsberg",Deutschland,312,165,546492910
"Fortuna Heidenheim",Deutschland,300,160,545987400
"Latium Rom",Italien,311,140,545413670
"Liverpool Reds",England,365,145,544878843
"Aluminium Aachen",Deutschland,343,142,544665545
"WBV Reutlingen",Deutschland,287,132,541634902
"SK Biel/Bienne",Schweiz,362,192,539055276
"SFV Plauen",Deutschland,281,140,537550956
"TuS Ulm 1853",Deutschland,257,140,535998746
"Olympique Laval",Frankreich,376,123,535084617
"Leeds Athletic",England,203,120,534868949
"Augsburger SV",Deutschland,375,164,534763771
"SSC Halle",Deutschland,369,141,534215901
"SS Carrara",Italien,289,130,533471629
"Atlético São Paulo",Brasilien,353,143,531068669
"Hansa Bremen",Deutschland,362,142,527968605
"Cycle Brugge FC",Belgien,364,198,527150724
"Anjel Trnava",Slowakei,234,172,525894548
"IKK Falkenberg",Schweden,293,125,525843777
"Tottenham Rooster",England,269,127,525565177
"FC Mission",Gabun,281,168,525229474
"OFG Nice",Frankreich,375,120,525090542
"OV Lokeren",Belgien,365,169,524026449
"SC Torpedo Dresden",Deutschland,282,127,522886820
"RF Botafogo",Brasilien,287,160,522861238
"FV Sevilla",Spanien,341,128,522211074
"MFC Black Power",Südafrika,263,153,522157498
"AC Agropoli 1925",Italien,353,183,521939111
"VfB Chemnitz",Deutschland,254,122,521281149
"Sportivo Kansas Wiz","Vereinigte Staaten",327,93,521047908
"Atlético Xàtiva",Spanien,226,117,518589422
"Olympia Berlin",Deutschland,296,140,518112720
"Sportivo Bilbao",Spanien,393,102,516927910
"TSG Aschaffenburg 04",Deutschland,244,143,516660599
"Ferrara Calcio",Italien,344,148,514230222
"TT Officers","Trinidad und Tobago",295,139,512176834
"Unione Pescara",Italien,283,160,512129490
"Västra Borås ",Schweden,368,156,508773871
"Fortuna Norderstedt",Deutschland,260,144,508722598
"Unione Spezia",Italien,208,124,508384241
"Tigrão Goiânia",Brasilien,141,132,507726967
"Unión Villanovense",Spanien,263,122,507338116
"Madeíro Funchal",Portugal,245,143,505485704
"Hessen Lehnerz",Deutschland,290,186,505222164
"Preußen Lübeck",Deutschland,336,180,504854720
"RB Fischeln",Deutschland,234,113,504831000
"Arsenal Washington 94","Vereinigte Staaten",340,112,503934546
"Uni Søborg",Dänemark,348,168,503600624
"GSV Barsinghausen",Deutschland,220,104,502736416
"OLFK Bischofswerda",Deutschland,337,185,501881900
"Başektaş Istanbul",Türkei,347,149,500859043
"Lava Southport",England,184,118,500657037
